"order_delivery_no","order_id","invoice_type"
"CK21062905928","1408610535607447553","2"
"CK21072805305","1408610535812374530","2"
"CK21062808864","1408610535812374530","2"
"CK21063002921","1408610535846318081","2"
"CK21062903792","1408610535855280130","2"
"CK21063001191","1408610535963963393","2"
"CK21072805352","1408610536286720002","2"
"CK21062808820","1408610536286720002","2"
"CK21062807385","1408610536298037250","2"
"CK21072805478","1408610536335720450","2"
"CK21062904223","1408610536335720450","2"
"CK21063001871","1408610536375005186","2"
"CK21062901653","1408610536386052098","5"
"CK21080201483","1408610536397332481","2"
"CK21062805715","1408610536397332481","2"
"CK21072805491","1408610536428937218","2"
"CK21062808736","1408610536428937218","2"
"CK21062807787","1408610536438288385","2"
"CK21080202663","1408610536570601474","1"
"CK21062904964","1408610536570601474","1"
"CK21080200721","1408610536599961602","2"
"CK21062806300","1408610536599961602","2"
